"","shipmode","sales","quantity","discount","profit","segment","region","state","subcategory","category","orderdate_day","orderdate_weekday","orderdate_month","orderdate_year","shipdate_day","shipdate_weekday","shipdate_month","shipdate_year","preparationtime"
"1541","Standard Class",6.696,1,0.2,0.5022,"Home Office","East","Pennsylvania","Furnishings                                       ","Furniture",10,"Donnerstag",3,2016,14,"Montag",3,2016,4
"1542","Standard Class",16.74,2,0,4.3524,"Corporate","Central","Wisconsin","Furnishings                                       ","Furniture",15,"Sonntag",3,2015,20,"Freitag",3,2015,5
"1543","Standard Class",46.872,7,0.2,3.5154,"Home Office","West","Arizona","Furnishings                                       ","Furniture",10,"Donnerstag",10,2013,14,"Montag",10,2013,4
"1544","Standard Class",25.11,3,0,6.5286,"Consumer","West","California","Furnishings                                       ","Furniture",2,"Samstag",4,2016,7,"Donnerstag",4,2016,5
"1545","Second Class",75.33,9,0,19.5858,"Home Office","Central","Michigan","Furnishings                                       ","Furniture",23,"Freitag",5,2014,27,"Dienstag",5,2014,4
"1546","Standard Class",39.92,4,0,11.1776,"Consumer","West","California","Furnishings                                       ","Furniture",19,"Samstag",12,2015,25,"Freitag",12,2015,6
"1547","Standard Class",9.98,1,0,2.7944,"Home Office","West","California","Furnishings                                       ","Furniture",11,"Mittwoch",11,2015,16,"Montag",11,2015,5
"1548","Standard Class",19.96,2,0,5.5888,"Consumer","West","California","Furnishings                                       ","Furniture",22,"Donnerstag",10,2015,28,"Mittwoch",10,2015,6
"1549","Standard Class",39.92,4,0,11.1776,"Corporate","South","Georgia","Furnishings                                       ","Furniture",28,"Samstag",3,2015,1,"Mittwoch",4,2015,4
"1550","First Class",39.92,4,0,11.1776,"Consumer","South","Virginia","Furnishings                                       ","Furniture",23,"Freitag",10,2015,25,"Sonntag",10,2015,2
"1551","Standard Class",318.08,4,0,34.9888,"Consumer","South","Kentucky","Furnishings                                       ","Furniture",16,"Montag",2,2015,23,"Montag",2,2015,7
"1552","Standard Class",159.04,5,0.6,-194.824,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",7,"Samstag",3,2015,13,"Freitag",3,2015,6
"1553","Second Class",238.56,3,0,26.2416,"Home Office","West","California","Furnishings                                       ","Furniture",7,"Samstag",11,2015,11,"Mittwoch",11,2015,4
"1554","Second Class",397.6,5,0,43.736,"Corporate","South","South Carolina","Furnishings                                       ","Furniture",28,"Donnerstag",11,2013,1,"Sonntag",12,2013,3
"1555","Standard Class",190.848,3,0.2,-21.4704,"Consumer","East","Ohio","Furnishings                                       ","Furniture",20,"Freitag",12,2013,27,"Freitag",12,2013,7
"1556","Standard Class",79.12,5,0.2,13.846,"Corporate","South","Tennessee","Furnishings                                       ","Furniture",18,"Samstag",4,2015,23,"Donnerstag",4,2015,5
"1557","First Class",79.12,5,0.2,13.846,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",1,"Donnerstag",12,2016,4,"Sonntag",12,2016,3
"1558","Standard Class",71.12,5,0.2,9.779,"Consumer","East","Ohio","Furnishings                                       ","Furniture",28,"Freitag",11,2014,2,"Dienstag",12,2014,4
"1559","Second Class",14.224,2,0.6,-10.3124,"Home Office","Central","Illinois","Furnishings                                       ","Furniture",30,"Donnerstag",6,2016,4,"Montag",7,2016,4
"1560","Standard Class",106.68,6,0,33.0708,"Corporate","West","California","Furnishings                                       ","Furniture",10,"Mittwoch",9,2014,16,"Dienstag",9,2014,6
"1561","Standard Class",71.12,4,0,22.0472,"Consumer","Central","Indiana","Furnishings                                       ","Furniture",4,"Samstag",4,2015,10,"Freitag",4,2015,6
"1562","Second Class",53.34,3,0,16.5354,"Consumer","Central","Minnesota","Furnishings                                       ","Furniture",31,"Freitag",1,2014,5,"Mittwoch",2,2014,5
"1563","Standard Class",302.72,5,0.6,-378.4,"Home Office","Central","Texas","Furnishings                                       ","Furniture",29,"Mittwoch",7,2015,2,"Sonntag",8,2015,4
"1564","Same Day",756.8,5,0,75.68,"Corporate","East","New York","Furnishings                                       ","Furniture",29,"Donnerstag",10,2015,29,"Donnerstag",10,2015,0
"1565","Second Class",242.176,4,0.6,-302.72,"Home Office","Central","Illinois","Furnishings                                       ","Furniture",30,"Montag",11,2015,5,"Samstag",12,2015,5
"1566","First Class",756.8,5,0,75.68,"Consumer","South","Virginia","Furnishings                                       ","Furniture",6,"Freitag",11,2015,8,"Sonntag",11,2015,2
"1567","Standard Class",6.16,2,0,1.9712,"Corporate","South","Mississippi","Furnishings                                       ","Furniture",14,"Sonntag",12,2014,18,"Donnerstag",12,2014,4
"1568","Second Class",4.928,2,0.2,0.7392,"Corporate","South","North Carolina","Furnishings                                       ","Furniture",5,"Samstag",7,2014,10,"Donnerstag",7,2014,5
"1569","Second Class",6.16,2,0,1.9712,"Consumer","West","California","Furnishings                                       ","Furniture",15,"Sonntag",12,2013,19,"Donnerstag",12,2013,4
"1570","First Class",21.56,7,0,6.8992,"Corporate","West","California","Furnishings                                       ","Furniture",28,"Montag",3,2016,31,"Donnerstag",3,2016,3
"1571","Same Day",9.24,3,0,2.9568,"Corporate","West","California","Furnishings                                       ","Furniture",26,"Montag",9,2016,26,"Montag",9,2016,0
"1572","Standard Class",4.928,2,0.2,0.7392,"Corporate","South","North Carolina","Furnishings                                       ","Furniture",5,"Samstag",7,2014,11,"Freitag",7,2014,6
"1573","Second Class",12.32,5,0.2,1.848,"Corporate","South","Florida","Furnishings                                       ","Furniture",10,"Sonntag",4,2016,14,"Donnerstag",4,2016,4
"1574","Standard Class",56.28,6,0,15.7584,"Corporate","South","Georgia","Furnishings                                       ","Furniture",8,"Freitag",4,2016,15,"Freitag",4,2016,7
"1575","First Class",22.512,3,0.2,2.2512,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",16,"Freitag",9,2016,18,"Sonntag",9,2016,2
"1576","Second Class",15.008,4,0.6,-12.0064,"Home Office","Central","Texas","Furnishings                                       ","Furniture",10,"Donnerstag",9,2015,15,"Dienstag",9,2015,5
"1577","Second Class",15.008,2,0.2,1.5008,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",27,"Sonntag",3,2016,29,"Dienstag",3,2016,2
"1578","Second Class",46.9,5,0,13.132,"Corporate","West","Washington","Furnishings                                       ","Furniture",24,"Montag",3,2014,27,"Donnerstag",3,2014,3
"1579","First Class",24.288,3,0.6,-12.7512,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",27,"Samstag",9,2014,29,"Montag",9,2014,2
"1580","Standard Class",20.24,1,0,7.8936,"Consumer","West","Washington","Furnishings                                       ","Furniture",26,"Montag",5,2014,31,"Samstag",5,2014,5
"1581","Standard Class",60.72,3,0,23.6808,"Corporate","East","Maryland","Furnishings                                       ","Furniture",2,"Montag",12,2013,7,"Samstag",12,2013,5
"1582","Second Class",40.48,2,0,15.7872,"Corporate","East","New York","Furnishings                                       ","Furniture",18,"Donnerstag",8,2016,23,"Dienstag",8,2016,5
"1583","Same Day",16.192,2,0.6,-8.5008,"Consumer","Central","Texas","Furnishings                                       ","Furniture",30,"Sonntag",10,2016,30,"Sonntag",10,2016,0
"1584","Second Class",30.56,5,0.6,-19.864,"Consumer","Central","Texas","Furnishings                                       ","Furniture",6,"Sonntag",11,2016,9,"Mittwoch",11,2016,3
"1585","Standard Class",48.896,4,0.2,8.5568,"Consumer","East","Ohio","Furnishings                                       ","Furniture",2,"Samstag",1,2016,7,"Donnerstag",1,2016,5
"1586","Same Day",61.12,4,0,20.7808,"Consumer","East","New York","Furnishings                                       ","Furniture",5,"Freitag",6,2015,5,"Freitag",6,2015,0
"1587","Standard Class",36.672,3,0.2,6.4176,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",10,"Sonntag",4,2016,14,"Donnerstag",4,2016,4
"1588","First Class",45.84,3,0,15.5856,"Consumer","East","Massachusetts","Furnishings                                       ","Furniture",1,"Sonntag",12,2013,3,"Dienstag",12,2013,2
"1589","Second Class",30.56,2,0,10.3904,"Corporate","West","California","Furnishings                                       ","Furniture",19,"Mittwoch",10,2016,24,"Montag",10,2016,5
"1590","Standard Class",65.424,4,0.6,-52.3392,"Consumer","Central","Texas","Furnishings                                       ","Furniture",29,"Sonntag",5,2016,5,"Sonntag",6,2016,7
"1591","Second Class",32.712,2,0.6,-26.1696,"Consumer","Central","Texas","Furnishings                                       ","Furniture",26,"Freitag",6,2015,28,"Sonntag",6,2015,2
"1592","Standard Class",692.472,11,0.2,190.4298,"Corporate","South","Tennessee","Furnishings                                       ","Furniture",26,"Mittwoch",11,2014,30,"Sonntag",11,2014,4
"1593","Standard Class",94.428,3,0.6,-42.4926,"Corporate","Central","Illinois","Furnishings                                       ","Furniture",13,"Freitag",12,2013,17,"Dienstag",12,2013,4
"1594","First Class",173.24,4,0,17.324,"Consumer","East","Connecticut","Furnishings                                       ","Furniture",18,"Montag",5,2015,19,"Dienstag",5,2015,1
"1595","Standard Class",129.93,3,0,12.993,"Consumer","South","Georgia","Furnishings                                       ","Furniture",13,"Samstag",9,2014,20,"Samstag",9,2014,7
"1596","Standard Class",43.31,1,0,4.331,"Consumer","West","California","Furnishings                                       ","Furniture",12,"Donnerstag",12,2013,17,"Dienstag",12,2013,5
"1597","Standard Class",129.93,3,0,12.993,"Corporate","East","New Jersey","Furnishings                                       ","Furniture",2,"Montag",5,2016,7,"Samstag",5,2016,5
"1598","Standard Class",86.62,2,0,8.662,"Home Office","Central","Missouri","Furnishings                                       ","Furniture",23,"Donnerstag",4,2015,27,"Montag",4,2015,4
"1599","Standard Class",37.74,3,0,12.8316,"Corporate","East","New York","Furnishings                                       ","Furniture",27,"Samstag",6,2015,3,"Freitag",7,2015,6
"1600","Same Day",70.448,7,0.2,12.3284,"Corporate","East","Pennsylvania","Furnishings                                       ","Furniture",24,"Dienstag",11,2015,24,"Dienstag",11,2015,0
"1601","First Class",25.16,2,0,8.5544,"Corporate","East","Connecticut","Furnishings                                       ","Furniture",29,"Mittwoch",6,2016,2,"Samstag",7,2016,3
"1602","Standard Class",25.16,2,0,8.5544,"Home Office","East","Maryland","Furnishings                                       ","Furniture",21,"Sonntag",8,2016,27,"Samstag",8,2016,6
"1603","Second Class",37.74,3,0,12.8316,"Home Office","West","California","Furnishings                                       ","Furniture",29,"Freitag",1,2016,1,"Montag",2,2016,3
"1604","Standard Class",6.24,3,0,2.6208,"Consumer","West","Washington","Furnishings                                       ","Furniture",17,"Montag",6,2013,21,"Freitag",6,2013,4
"1605","First Class",4.992,3,0.2,1.3728,"Corporate","South","Florida","Furnishings                                       ","Furniture",19,"Dienstag",3,2013,21,"Donnerstag",3,2013,2
"1606","Standard Class",4.16,2,0,1.7472,"Consumer","West","California","Furnishings                                       ","Furniture",28,"Donnerstag",8,2014,4,"Donnerstag",9,2014,7
"1607","Standard Class",6.24,3,0,2.6208,"Consumer","Central","Indiana","Furnishings                                       ","Furniture",29,"Sonntag",5,2016,4,"Samstag",6,2016,6
"1608","Second Class",8.32,5,0.2,2.288,"Consumer","East","Ohio","Furnishings                                       ","Furniture",11,"Montag",3,2013,16,"Samstag",3,2013,5
"1609","Standard Class",127.95,3,0,21.7515,"Consumer","West","California","Furnishings                                       ","Furniture",11,"Mittwoch",9,2013,16,"Montag",9,2013,5
"1610","Same Day",85.3,2,0,14.501,"Home Office","East","Massachusetts","Furnishings                                       ","Furniture",21,"Sonntag",9,2014,21,"Sonntag",9,2014,0
"1611","Standard Class",102.36,3,0.2,-3.8385,"Consumer","South","Florida","Furnishings                                       ","Furniture",9,"Montag",3,2015,14,"Samstag",3,2015,5
"1612","Standard Class",102.36,3,0.2,-3.8385,"Consumer","West","Colorado","Furnishings                                       ","Furniture",13,"Donnerstag",11,2014,17,"Montag",11,2014,4
"1613","Standard Class",127.95,3,0,21.7515,"Consumer","Central","Indiana","Furnishings                                       ","Furniture",25,"Freitag",9,2015,29,"Dienstag",9,2015,4
"1614","First Class",127.95,3,0,21.7515,"Corporate","South","South Carolina","Furnishings                                       ","Furniture",1,"Freitag",4,2016,3,"Sonntag",4,2016,2
"1615","Standard Class",322.59,3,0,64.518,"Home Office","East","New Hampshire","Furnishings                                       ","Furniture",17,"Samstag",1,2015,21,"Mittwoch",1,2015,4
"1616","Standard Class",107.53,1,0,21.506,"Consumer","West","Washington","Furnishings                                       ","Furniture",14,"Sonntag",2,2016,20,"Samstag",2,2016,6
"1617","Second Class",76.14,3,0,26.649,"Home Office","West","California","Furnishings                                       ","Furniture",19,"Freitag",4,2013,21,"Sonntag",4,2013,2
"1618","Standard Class",76.14,3,0,26.649,"Consumer","East","Delaware","Furnishings                                       ","Furniture",14,"Freitag",11,2014,19,"Mittwoch",11,2014,5
"1619","Standard Class",101.52,5,0.2,19.035,"Consumer","South","Tennessee","Furnishings                                       ","Furniture",29,"Dienstag",11,2016,3,"Samstag",12,2016,4
"1620","Standard Class",258.072,3,0.2,0,"Home Office","South","Florida","Furnishings                                       ","Furniture",7,"Donnerstag",4,2016,12,"Dienstag",4,2016,5
"1621","Standard Class",322.59,3,0,64.518,"Consumer","East","New York","Furnishings                                       ","Furniture",28,"Freitag",11,2014,4,"Donnerstag",12,2014,6
"1622","Standard Class",104.23,7,0,28.1421,"Consumer","West","California","Furnishings                                       ","Furniture",15,"Freitag",8,2014,19,"Dienstag",8,2014,4
"1623","First Class",44.67,3,0,12.0609,"Corporate","West","California","Furnishings                                       ","Furniture",13,"Samstag",9,2014,15,"Montag",9,2014,2
"1624","Standard Class",134.01,9,0,36.1827,"Consumer","West","Nevada","Furnishings                                       ","Furniture",26,"Freitag",7,2013,2,"Freitag",8,2013,7
"1625","Standard Class",89.34,6,0,24.1218,"Consumer","East","New York","Furnishings                                       ","Furniture",2,"Samstag",11,2013,6,"Mittwoch",11,2013,4
"1626","Second Class",29.78,2,0,8.0406,"Consumer","East","New York","Furnishings                                       ","Furniture",31,"Donnerstag",3,2016,2,"Samstag",4,2016,2
"1627","Standard Class",74.45,5,0,20.1015,"Corporate","East","New Jersey","Furnishings                                       ","Furniture",14,"Donnerstag",4,2016,19,"Dienstag",4,2016,5
"1628","First Class",44.67,3,0,12.0609,"Home Office","West","California","Furnishings                                       ","Furniture",20,"Samstag",2,2016,21,"Sonntag",2,2016,1
"1629","Standard Class",14.89,1,0,4.0203,"Consumer","East","New York","Furnishings                                       ","Furniture",27,"Mittwoch",7,2016,31,"Sonntag",7,2016,4
"1630","Second Class",8.752,4,0.6,-3.7196,"Consumer","Central","Texas","Furnishings                                       ","Furniture",2,"Freitag",12,2016,4,"Sonntag",12,2016,2
"1631","Standard Class",21.88,5,0.2,6.2905,"Consumer","East","Ohio","Furnishings                                       ","Furniture",15,"Sonntag",3,2015,20,"Freitag",3,2015,5
"1632","Second Class",13.128,3,0.2,3.7743,"Consumer","South","Florida","Furnishings                                       ","Furniture",14,"Samstag",9,2013,18,"Mittwoch",9,2013,4
"1633","Standard Class",5.47,1,0,2.3521,"Consumer","Central","Michigan","Furnishings                                       ","Furniture",4,"Donnerstag",4,2013,9,"Dienstag",4,2013,5
"1634","First Class",38.29,7,0,16.4647,"Consumer","West","California","Furnishings                                       ","Furniture",5,"Donnerstag",11,2015,6,"Freitag",11,2015,1
"1635","Standard Class",16.192,2,0.6,-6.8816,"Consumer","Central","Texas","Furnishings                                       ","Furniture",27,"Freitag",2,2015,3,"Dienstag",3,2015,4
"1636","Standard Class",60.72,3,0,26.1096,"Consumer","East","New York","Furnishings                                       ","Furniture",19,"Samstag",9,2015,26,"Samstag",9,2015,7
"1637","First Class",80.96,4,0,34.8128,"Consumer","West","Washington","Furnishings                                       ","Furniture",7,"Mittwoch",9,2016,10,"Samstag",9,2016,3
"1638","Standard Class",20.24,1,0,8.7032,"Corporate","South","Georgia","Furnishings                                       ","Furniture",28,"Samstag",3,2015,1,"Mittwoch",4,2015,4
"1639","Standard Class",40.48,2,0,17.4064,"Consumer","East","New Jersey","Furnishings                                       ","Furniture",12,"Mittwoch",10,2016,16,"Sonntag",10,2016,4
"1640","Second Class",16.192,1,0.2,4.6552,"Consumer","West","Colorado","Furnishings                                       ","Furniture",3,"Samstag",12,2016,6,"Dienstag",12,2016,3
"1641","Second Class",332.832,4,0.2,-24.9624,"Corporate","East","Pennsylvania","Furnishings                                       ","Furniture",10,"Samstag",10,2015,12,"Montag",10,2015,2
"1642","Second Class",104.01,1,0,14.5614,"Consumer","South","Virginia","Furnishings                                       ","Furniture",21,"Freitag",6,2013,23,"Sonntag",6,2013,2
"1643","Standard Class",312.03,3,0,43.6842,"Consumer","West","California","Furnishings                                       ","Furniture",16,"Sonntag",8,2015,23,"Sonntag",8,2015,7
"1644","Standard Class",520.05,5,0,72.807,"Corporate","East","New York","Furnishings                                       ","Furniture",21,"Samstag",5,2016,26,"Donnerstag",5,2016,5
"1645","First Class",22.23,1,0,7.3359,"Corporate","West","California","Furnishings                                       ","Furniture",21,"Sonntag",2,2016,24,"Mittwoch",2,2016,3
"1646","Standard Class",66.69,3,0,22.0077,"Consumer","West","Utah","Furnishings                                       ","Furniture",8,"Samstag",11,2014,14,"Freitag",11,2014,6
"1647","Standard Class",44.46,2,0,14.6718,"Consumer","East","New York","Furnishings                                       ","Furniture",19,"Donnerstag",2,2015,24,"Dienstag",2,2015,5
"1648","First Class",44.46,2,0,14.6718,"Home Office","West","California","Furnishings                                       ","Furniture",16,"Montag",12,2013,17,"Dienstag",12,2013,1
"1649","Standard Class",44.46,2,0,14.6718,"Corporate","West","California","Furnishings                                       ","Furniture",5,"Freitag",12,2014,9,"Dienstag",12,2014,4
"1650","First Class",35.568,2,0.2,5.7798,"Corporate","South","Florida","Furnishings                                       ","Furniture",7,"Samstag",11,2015,10,"Dienstag",11,2015,3
"1651","First Class",88.92,5,0.2,14.4495,"Consumer","South","Tennessee","Furnishings                                       ","Furniture",11,"Freitag",11,2016,14,"Montag",11,2016,3
"1652","First Class",300.416,8,0.2,78.8592,"Corporate","West","Colorado","Furnishings                                       ","Furniture",26,"Donnerstag",12,2013,28,"Samstag",12,2013,2
"1653","Same Day",56.328,3,0.6,-26.7558,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",14,"Mittwoch",12,2016,14,"Mittwoch",12,2016,0
"1654","First Class",262.864,7,0.2,69.0018,"Consumer","East","Ohio","Furnishings                                       ","Furniture",15,"Montag",12,2014,18,"Donnerstag",12,2014,3
"1655","Standard Class",56.52,9,0,21.4776,"Home Office","East","New York","Furnishings                                       ","Furniture",9,"Samstag",11,2013,13,"Mittwoch",11,2013,4
"1656","Same Day",187.76,4,0,76.9816,"Home Office","West","California","Furnishings                                       ","Furniture",15,"Montag",4,2013,15,"Montag",4,2013,0
"1657","Standard Class",187.76,4,0,76.9816,"Consumer","East","New York","Furnishings                                       ","Furniture",17,"Donnerstag",11,2016,21,"Montag",11,2016,4
"1658","First Class",46.94,1,0,19.2454,"Corporate","Central","Wisconsin","Furnishings                                       ","Furniture",27,"Sonntag",11,2016,29,"Dienstag",11,2016,2
"1659","Same Day",18.84,3,0,7.1592,"Home Office","South","Georgia","Furnishings                                       ","Furniture",5,"Donnerstag",2,2015,5,"Donnerstag",2,2015,0
"1660","First Class",136.92,4,0,41.076,"Corporate","West","California","Furnishings                                       ","Furniture",3,"Montag",2,2014,4,"Dienstag",2,2014,1
"1661","Standard Class",68.46,2,0,20.538,"Consumer","West","Washington","Furnishings                                       ","Furniture",29,"Donnerstag",12,2016,2,"Montag",1,2017,4
"1662","Standard Class",54.768,2,0.2,6.846,"Corporate","East","Pennsylvania","Furnishings                                       ","Furniture",4,"Sonntag",12,2016,9,"Freitag",12,2016,5
"1663","Standard Class",4.95,1,0,2.178,"Home Office","West","California","Furnishings                                       ","Furniture",6,"Montag",6,2016,10,"Freitag",6,2016,4
"1664","Second Class",24.75,5,0,10.89,"Consumer","West","Washington","Furnishings                                       ","Furniture",18,"Samstag",7,2015,23,"Donnerstag",7,2015,5
"1665","Same Day",204.6,2,0,53.196,"Consumer","West","California","Furnishings                                       ","Furniture",22,"Montag",9,2014,22,"Montag",9,2014,0
"1666","Second Class",511.5,5,0,132.99,"Home Office","West","California","Furnishings                                       ","Furniture",2,"Freitag",9,2016,4,"Sonntag",9,2016,2
"1667","Standard Class",306.9,3,0,79.794,"Corporate","Central","Michigan","Furnishings                                       ","Furniture",8,"Freitag",4,2016,12,"Dienstag",4,2016,4
"1668","Standard Class",204.6,2,0,53.196,"Consumer","West","California","Furnishings                                       ","Furniture",29,"Sonntag",9,2013,3,"Donnerstag",10,2013,4
"1669","First Class",102.3,1,0,26.598,"Consumer","East","New Hampshire","Furnishings                                       ","Furniture",3,"Sonntag",7,2016,4,"Montag",7,2016,1
"1670","Standard Class",60.84,3,0,23.1192,"Corporate","Central","Michigan","Furnishings                                       ","Furniture",26,"Samstag",3,2016,2,"Samstag",4,2016,7
"1671","Second Class",101.4,5,0,38.532,"Consumer","East","New York","Furnishings                                       ","Furniture",5,"Samstag",11,2016,10,"Donnerstag",11,2016,5
"1672","Standard Class",32.448,2,0.2,7.3008,"Corporate","East","Pennsylvania","Furnishings                                       ","Furniture",3,"Dienstag",5,2016,8,"Sonntag",5,2016,5
"1673","Standard Class",7.692,1,0.6,-3.6537,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",17,"Mittwoch",2,2016,22,"Montag",2,2016,5
"1674","Standard Class",20.9,5,0,7.524,"Home Office","East","Maryland","Furnishings                                       ","Furniture",28,"Montag",11,2016,4,"Sonntag",12,2016,6
"1675","Standard Class",25.08,6,0,9.0288,"Consumer","West","California","Furnishings                                       ","Furniture",4,"Donnerstag",12,2014,9,"Dienstag",12,2014,5
"1676","Second Class",12.54,3,0,4.5144,"Consumer","West","California","Furnishings                                       ","Furniture",12,"Donnerstag",12,2013,15,"Sonntag",12,2013,3
"1677","Standard Class",15.384,1,0.2,4.0383,"Consumer","South","Florida","Furnishings                                       ","Furniture",15,"Dienstag",10,2013,20,"Sonntag",10,2013,5
"1678","Standard Class",23.076,3,0.6,-10.9611,"Consumer","Central","Texas","Furnishings                                       ","Furniture",7,"Mittwoch",1,2015,11,"Sonntag",1,2015,4
"1679","Standard Class",16.72,5,0.2,3.344,"Consumer","South","Tennessee","Furnishings                                       ","Furniture",6,"Mittwoch",5,2015,10,"Sonntag",5,2015,4
"1680","Second Class",57.69,3,0,23.6529,"Consumer","Central","Oklahoma","Furnishings                                       ","Furniture",7,"Samstag",9,2013,12,"Donnerstag",9,2013,5
"1681","Standard Class",30.768,2,0.2,8.0766,"Home Office","South","Florida","Furnishings                                       ","Furniture",18,"Montag",3,2013,23,"Samstag",3,2013,5
"1682","First Class",8.36,2,0,3.0096,"Consumer","West","California","Furnishings                                       ","Furniture",12,"Montag",9,2016,15,"Donnerstag",9,2016,3
"1683","Standard Class",4.18,1,0,1.5048,"Home Office","West","Washington","Furnishings                                       ","Furniture",14,"Samstag",11,2015,20,"Freitag",11,2015,6
"1684","Standard Class",46.152,3,0.2,12.1149,"Consumer","South","North Carolina","Furnishings                                       ","Furniture",11,"Montag",8,2014,16,"Samstag",8,2014,5
"1685","Standard Class",57.69,3,0,23.6529,"Corporate","Central","Oklahoma","Furnishings                                       ","Furniture",21,"Sonntag",6,2015,26,"Freitag",6,2015,5
"1686","Second Class",16.72,5,0.2,3.344,"Consumer","West","Colorado","Furnishings                                       ","Furniture",3,"Samstag",12,2016,6,"Dienstag",12,2016,3
"1687","Same Day",6.688,4,0.6,-4.0128,"Consumer","Central","Texas","Furnishings                                       ","Furniture",1,"Montag",12,2014,2,"Dienstag",12,2014,1
"1688","Standard Class",76.92,4,0,31.5372,"Home Office","South","Georgia","Furnishings                                       ","Furniture",12,"Donnerstag",3,2015,16,"Montag",3,2015,4
"1689","First Class",310.88,2,0.2,23.316,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",10,"Samstag",12,2016,12,"Montag",12,2016,2
"1690","Standard Class",621.76,4,0.2,46.632,"Corporate","West","Arizona","Furnishings                                       ","Furniture",28,"Samstag",6,2014,2,"Mittwoch",7,2014,4
"1691","Standard Class",466.32,3,0.2,34.974,"Consumer","East","Ohio","Furnishings                                       ","Furniture",7,"Sonntag",6,2015,11,"Donnerstag",6,2015,4
"1692","Same Day",77.72,1,0.6,-66.062,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",11,"Sonntag",12,2016,11,"Sonntag",12,2016,0
"1693","Standard Class",310.88,2,0.2,23.316,"Corporate","South","Florida","Furnishings                                       ","Furniture",14,"Dienstag",5,2013,20,"Montag",5,2013,6
"1694","Same Day",971.5,5,0,252.59,"Consumer","East","Maryland","Furnishings                                       ","Furniture",18,"Mittwoch",3,2015,18,"Mittwoch",3,2015,0
"1695","Standard Class",29.22,3,0,12.8568,"Consumer","West","California","Furnishings                                       ","Furniture",14,"Sonntag",12,2014,18,"Donnerstag",12,2014,4
"1696","Second Class",77.92,8,0,34.2848,"Consumer","West","California","Furnishings                                       ","Furniture",25,"Donnerstag",7,2013,27,"Samstag",7,2013,2
"1697","Standard Class",29.22,3,0,12.8568,"Home Office","Central","Minnesota","Furnishings                                       ","Furniture",10,"Montag",11,2014,14,"Freitag",11,2014,4
"1698","Standard Class",31.168,4,0.2,9.3504,"Corporate","South","Tennessee","Furnishings                                       ","Furniture",15,"Mittwoch",6,2016,20,"Montag",6,2016,5
"1699","Second Class",23.376,3,0.2,7.0128,"Consumer","West","Colorado","Furnishings                                       ","Furniture",3,"Samstag",12,2016,6,"Dienstag",12,2016,3
"1700","Second Class",11.688,3,0.6,-4.6752,"Consumer","Central","Illinois","Furnishings                                       ","Furniture",5,"Freitag",6,2015,10,"Mittwoch",6,2015,5
"1701","First Class",8.96,2,0,2.7776,"Consumer","South","Alabama","Furnishings                                       ","Furniture",7,"Sonntag",4,2013,10,"Mittwoch",4,2013,3
"1702","Second Class",17.92,5,0.2,2.464,"Consumer","East","Ohio","Furnishings                                       ","Furniture",21,"Dienstag",6,2016,25,"Samstag",6,2016,4
"1703","Standard Class",7.168,2,0.2,0.9856,"Consumer","East","Pennsylvania","Furnishings                                       ","Furniture",30,"Sonntag",10,2016,3,"Donnerstag",11,2016,4
"1704","Standard Class",12.544,7,0.6,-9.0944,"Corporate","Central","Texas","Furnishings                                       ","Furniture",12,"Freitag",6,2015,18,"Donnerstag",6,2015,6
"1705","First Class",196.45,5,0,70.722,"Corporate","West","Nevada","Furnishings                                       ","Furniture",15,"Freitag",4,2016,18,"Montag",4,2016,3
"1706","First Class",282.888,9,0.2,56.5776,"Corporate","East","Pennsylvania","Furnishings                                       ","Furniture",3,"Donnerstag",7,2014,5,"Samstag",7,2014,2
"1707","Standard Class",13.28,2,0,6.3744,"Home Office","South","Kentucky","Furnishings                                       ","Furniture",23,"Mittwoch",9,2015,29,"Dienstag",9,2015,6
"1708","Second Class",5.312,2,0.6,-1.5936,"Consumer","Central","Texas","Furnishings                                       ","Furniture",17,"Donnerstag",10,2013,19,"Samstag",10,2013,2
"1709","Second Class",19.92,3,0,9.5616,"Consumer","West","California","Furnishings                                       ","Furniture",29,"Samstag",3,2014,31,"Montag",3,2014,2
"1710","First Class",13.28,2,0,6.3744,"Corporate","East","New York","Furnishings                                       ","Furniture",24,"Samstag",8,2013,26,"Montag",8,2013,2
"1711","Standard Class",7.968,3,0.6,-2.3904,"Corporate","Central","Illinois","Furnishings                                       ","Furniture",28,"Mittwoch",12,2016,1,"Sonntag",1,2017,4
"1712","Same Day",21.248,4,0.2,7.4368,"Home Office","East","Ohio","Furnishings                                       ","Furniture",29,"Donnerstag",9,2016,29,"Donnerstag",9,2016,0
"1713","Standard Class",25.128,3,0.6,-6.9102,"Consumer","Central","Texas","Furnishings                                       ","Furniture",12,"Dienstag",11,2013,18,"Montag",11,2013,6
