shipmode,sales,quantity,discount_pct,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime,order_date,ship_date,profit_pct
Standard Class,14.73,3,0.0,4.8609,Consumer,Central,Michigan,Furnishings                                       ,Furniture,20,Sunday,1,2013,26,Saturday,1,2013,6,2013-01-20,2013-01-26,33.0
Second Class,14.73,3,0.0,4.8609,Home Office,West,California,Furnishings                                       ,Furniture,25,Sunday,5,2014,27,Tuesday,5,2014,2,2014-05-25,2014-05-27,33.0
First Class,9.82,2,0.0,3.2406,Consumer,East,Massachusetts,Furnishings                                       ,Furniture,1,Sunday,12,2013,3,Tuesday,12,2013,2,2013-12-01,2013-12-03,33.0
Same Day,15.712,4,20.0,2.5532,Corporate,South,Florida,Furnishings                                       ,Furniture,15,Monday,9,2014,15,Monday,9,2014,0,2014-09-15,2014-09-15,16.25
Standard Class,54.992,14,20.0,8.9362,Home Office,East,Ohio,Furnishings                                       ,Furniture,11,Sunday,1,2015,15,Thursday,1,2015,4,2015-01-11,2015-01-15,16.25
First Class,266.352,3,20.0,-13.3176,Consumer,West,Colorado,Furnishings                                       ,Furniture,18,Thursday,6,2015,20,Saturday,6,2015,2,2015-06-18,2015-06-20,-5.000000000000001
Standard Class,532.704,6,20.0,-26.6352,Corporate,East,Ohio,Furnishings                                       ,Furniture,24,Thursday,9,2015,28,Monday,9,2015,4,2015-09-24,2015-09-28,-5.000000000000001
Second Class,332.94,3,0.0,53.2704,Consumer,Central,Missouri,Furnishings                                       ,Furniture,11,Monday,2,2013,15,Friday,2,2013,4,2013-02-11,2013-02-15,16.0
Standard Class,665.88,6,0.0,106.5408,Home Office,West,California,Furnishings                                       ,Furniture,3,Saturday,5,2014,8,Thursday,5,2014,5,2014-05-03,2014-05-08,16.0
Same Day,266.352,6,60.0,-292.9872,Consumer,Central,Illinois,Furnishings                                       ,Furniture,14,Wednesday,12,2016,14,Wednesday,12,2016,0,2016-12-14,2016-12-14,-110.00000000000001
Second Class,14.76,2,0.0,4.2804,Consumer,East,Maryland,Furnishings                                       ,Furniture,4,Friday,9,2015,9,Wednesday,9,2015,5,2015-09-04,2015-09-09,29.000000000000004
Second Class,8.856,3,60.0,-6.8634,Consumer,Central,Illinois,Furnishings                                       ,Furniture,12,Sunday,6,2016,14,Tuesday,6,2016,2,2016-06-12,2016-06-14,-77.5
Standard Class,22.14,3,0.0,6.4206,Home Office,West,Washington,Furnishings                                       ,Furniture,21,Monday,3,2016,25,Friday,3,2016,4,2016-03-21,2016-03-25,28.999999999999996
Standard Class,14.76,5,60.0,-11.439,Corporate,Central,Texas,Furnishings                                       ,Furniture,5,Tuesday,8,2014,11,Monday,8,2014,6,2014-08-05,2014-08-11,-77.5
Standard Class,14.76,2,0.0,4.2804,Consumer,West,California,Furnishings                                       ,Furniture,16,Wednesday,12,2015,23,Wednesday,12,2015,7,2015-12-16,2015-12-23,29.000000000000004
Standard Class,14.76,2,0.0,4.2804,Corporate,South,South Carolina,Furnishings                                       ,Furniture,10,Saturday,12,2016,15,Thursday,12,2016,5,2016-12-10,2016-12-15,29.000000000000004
First Class,11.808,2,20.0,1.3284,Home Office,South,Tennessee,Furnishings                                       ,Furniture,2,Sunday,10,2016,5,Wednesday,10,2016,3,2016-10-02,2016-10-05,11.25
Standard Class,22.14,3,0.0,6.4206,Home Office,West,Washington,Furnishings                                       ,Furniture,20,Thursday,11,2014,25,Tuesday,11,2014,5,2014-11-20,2014-11-25,28.999999999999996
Second Class,7.38,1,0.0,2.1402,Consumer,East,New York,Furnishings                                       ,Furniture,18,Friday,7,2014,20,Sunday,7,2014,2,2014-07-18,2014-07-20,29.000000000000004
Second Class,14.76,2,0.0,4.2804,Consumer,East,Rhode Island,Furnishings                                       ,Furniture,31,Thursday,10,2013,2,Saturday,11,2013,2,2013-10-31,2013-11-02,29.000000000000004
Standard Class,22.14,3,0.0,6.4206,Consumer,West,California,Furnishings                                       ,Furniture,27,Saturday,6,2015,4,Saturday,7,2015,7,2015-06-27,2015-07-04,28.999999999999996
Standard Class,14.76,5,60.0,-11.439,Consumer,Central,Texas,Furnishings                                       ,Furniture,31,Wednesday,12,2014,5,Monday,1,2015,5,2014-12-31,2015-01-05,-77.5
Standard Class,124.41,3,0.0,14.9292,Corporate,East,Delaware,Furnishings                                       ,Furniture,17,Sunday,11,2013,22,Friday,11,2013,5,2013-11-17,2013-11-22,12.0
First Class,207.35,5,0.0,24.882,Corporate,West,California,Furnishings                                       ,Furniture,13,Saturday,9,2014,15,Monday,9,2014,2,2014-09-13,2014-09-15,12.000000000000002
First Class,25.16,2,0.0,10.5672,Consumer,West,Utah,Furnishings                                       ,Furniture,7,Wednesday,9,2016,8,Thursday,9,2016,1,2016-09-07,2016-09-08,42.0
Standard Class,50.32,4,0.0,21.1344,Consumer,West,California,Furnishings                                       ,Furniture,19,Sunday,6,2016,23,Thursday,6,2016,4,2016-06-19,2016-06-23,42.0
Standard Class,30.192,3,20.0,8.3028,Corporate,South,Florida,Furnishings                                       ,Furniture,15,Friday,5,2015,20,Wednesday,5,2015,5,2015-05-15,2015-05-20,27.499999999999996
Standard Class,40.256,4,20.0,11.0704,Consumer,West,Arizona,Furnishings                                       ,Furniture,15,Sunday,6,2014,20,Friday,6,2014,5,2014-06-15,2014-06-20,27.499999999999996
Same Day,25.16,5,60.0,-11.322,Consumer,Central,Texas,Furnishings                                       ,Furniture,18,Monday,2,2013,18,Monday,2,2013,0,2013-02-18,2013-02-18,-44.99999999999999
Standard Class,28.44,3,0.0,11.376,Consumer,East,New York,Furnishings                                       ,Furniture,4,Thursday,12,2014,10,Wednesday,12,2014,6,2014-12-04,2014-12-10,40.0
Second Class,18.96,2,0.0,7.584,Corporate,West,California,Furnishings                                       ,Furniture,16,Friday,12,2016,21,Wednesday,12,2016,5,2016-12-16,2016-12-21,40.0
Standard Class,11.376,3,60.0,-5.688,Consumer,Central,Texas,Furnishings                                       ,Furniture,5,Thursday,11,2015,9,Monday,11,2015,4,2015-11-05,2015-11-09,-50.0
Standard Class,47.4,5,0.0,18.96,Corporate,East,New Jersey,Furnishings                                       ,Furniture,15,Thursday,9,2016,19,Monday,9,2016,4,2016-09-15,2016-09-19,40.0
Second Class,66.36,7,0.0,26.544,Consumer,West,California,Furnishings                                       ,Furniture,23,Saturday,4,2016,25,Monday,4,2016,2,2016-04-23,2016-04-25,40.0
Standard Class,18.96,2,0.0,7.584,Corporate,Central,Wisconsin,Furnishings                                       ,Furniture,23,Wednesday,9,2015,27,Sunday,9,2015,4,2015-09-23,2015-09-27,40.0
Standard Class,9.48,1,0.0,3.792,Corporate,East,Massachusetts,Furnishings                                       ,Furniture,30,Wednesday,4,2014,4,Sunday,5,2014,4,2014-04-30,2014-05-04,40.0
Second Class,15.168,2,20.0,3.792,Corporate,East,Ohio,Furnishings                                       ,Furniture,9,Friday,1,2015,13,Tuesday,1,2015,4,2015-01-09,2015-01-13,25.0
Standard Class,14.56,5,60.0,-6.188,Consumer,Central,Illinois,Furnishings                                       ,Furniture,20,Wednesday,4,2016,24,Sunday,4,2016,4,2016-04-20,2016-04-24,-42.5
First Class,29.12,4,0.0,12.5216,Corporate,South,Virginia,Furnishings                                       ,Furniture,27,Tuesday,8,2013,29,Thursday,8,2013,2,2013-08-27,2013-08-29,42.99999999999999
Standard Class,14.56,2,0.0,6.2608,Consumer,East,New York,Furnishings                                       ,Furniture,15,Sunday,9,2013,20,Friday,9,2013,5,2013-09-15,2013-09-20,42.99999999999999
Standard Class,11.648,2,20.0,3.3488,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,23,Thursday,7,2015,28,Tuesday,7,2015,5,2015-07-23,2015-07-28,28.750000000000004
Standard Class,14.56,2,0.0,6.2608,Consumer,East,New York,Furnishings                                       ,Furniture,18,Wednesday,5,2016,23,Monday,5,2016,5,2016-05-18,2016-05-23,42.99999999999999
Second Class,17.472,3,20.0,5.0232,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,9,Monday,9,2013,14,Saturday,9,2013,5,2013-09-09,2013-09-14,28.749999999999996
Standard Class,52.416,9,20.0,15.0696,Consumer,West,Colorado,Furnishings                                       ,Furniture,11,Thursday,12,2014,16,Tuesday,12,2014,5,2014-12-11,2014-12-16,28.750000000000004
First Class,60.672,6,20.0,12.8928,Home Office,East,Ohio,Furnishings                                       ,Furniture,9,Monday,9,2013,11,Wednesday,9,2013,2,2013-09-09,2013-09-11,21.25
Same Day,63.2,5,0.0,23.384,Corporate,West,California,Furnishings                                       ,Furniture,25,Friday,9,2015,25,Friday,9,2015,0,2015-09-25,2015-09-25,37.0
First Class,63.2,5,0.0,23.384,Home Office,East,Massachusetts,Furnishings                                       ,Furniture,31,Tuesday,12,2013,3,Friday,1,2014,3,2013-12-31,2014-01-03,37.0
Standard Class,101.12,8,0.0,37.4144,Corporate,West,California,Furnishings                                       ,Furniture,29,Thursday,12,2016,5,Thursday,1,2017,7,2016-12-29,2017-01-05,37.0
Second Class,30.336,6,60.0,-17.4432,Consumer,Central,Texas,Furnishings                                       ,Furniture,4,Saturday,6,2016,7,Tuesday,6,2016,3,2016-06-04,2016-06-07,-57.50000000000001
Second Class,91.008,9,20.0,19.3392,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,13,Wednesday,7,2016,17,Sunday,7,2016,4,2016-07-13,2016-07-17,21.250000000000004
First Class,10.11,3,0.0,3.2352,Consumer,West,California,Furnishings                                       ,Furniture,15,Friday,11,2013,18,Monday,11,2013,3,2013-11-15,2013-11-18,32.0
Second Class,4.044,3,60.0,-2.8308,Consumer,Central,Illinois,Furnishings                                       ,Furniture,5,Friday,6,2015,10,Wednesday,6,2015,5,2015-06-05,2015-06-10,-70.0
Standard Class,10.11,3,0.0,3.2352,Consumer,West,Washington,Furnishings                                       ,Furniture,18,Saturday,10,2014,22,Wednesday,10,2014,4,2014-10-18,2014-10-22,32.0
Standard Class,12.132,9,60.0,-8.4924,Corporate,Central,Illinois,Furnishings                                       ,Furniture,28,Friday,11,2014,4,Thursday,12,2014,6,2014-11-28,2014-12-04,-70.0
Second Class,38.97,3,0.0,4.6764,Home Office,East,Massachusetts,Furnishings                                       ,Furniture,27,Thursday,11,2014,29,Saturday,11,2014,2,2014-11-27,2014-11-29,12.000000000000002
Standard Class,12.99,1,0.0,1.5588,Consumer,East,New Jersey,Furnishings                                       ,Furniture,4,Sunday,12,2016,10,Saturday,12,2016,6,2016-12-04,2016-12-10,12.0
First Class,41.568,4,20.0,-4.1568,Corporate,East,Ohio,Furnishings                                       ,Furniture,29,Thursday,5,2014,31,Saturday,5,2014,2,2014-05-29,2014-05-31,-10.0
First Class,20.016,3,20.0,5.5044,Corporate,South,Florida,Furnishings                                       ,Furniture,19,Tuesday,3,2013,21,Thursday,3,2013,2,2013-03-19,2013-03-21,27.500000000000004
Second Class,25.02,3,0.0,10.5084,Home Office,West,California,Furnishings                                       ,Furniture,2,Wednesday,11,2016,4,Friday,11,2016,2,2016-11-02,2016-11-04,42.0
Standard Class,87.96,3,20.0,7.6965,Corporate,West,Arizona,Furnishings                                       ,Furniture,13,Friday,12,2013,17,Tuesday,12,2013,4,2013-12-13,2013-12-17,8.75
Standard Class,29.32,2,60.0,-24.189,Consumer,Central,Illinois,Furnishings                                       ,Furniture,25,Saturday,5,2013,29,Wednesday,5,2013,4,2013-05-25,2013-05-29,-82.5
Second Class,47.98,2,0.0,11.0354,Home Office,South,Virginia,Furnishings                                       ,Furniture,22,Monday,9,2014,26,Friday,9,2014,4,2014-09-22,2014-09-26,23.0
Second Class,71.97,3,0.0,16.5531,Consumer,East,New York,Furnishings                                       ,Furniture,6,Sunday,3,2016,11,Friday,3,2016,5,2016-03-06,2016-03-11,23.0
Standard Class,23.99,1,0.0,5.5177,Consumer,South,Georgia,Furnishings                                       ,Furniture,3,Sunday,7,2016,7,Thursday,7,2016,4,2016-07-03,2016-07-07,23.0
Standard Class,23.99,1,0.0,5.5177,Home Office,West,California,Furnishings                                       ,Furniture,24,Tuesday,12,2013,29,Sunday,12,2013,5,2013-12-24,2013-12-29,23.0
Standard Class,14.82,3,0.0,6.2244,Consumer,East,Massachusetts,Furnishings                                       ,Furniture,18,Friday,9,2015,23,Wednesday,9,2015,5,2015-09-18,2015-09-23,42.0
Standard Class,14.82,3,0.0,6.2244,Corporate,West,California,Furnishings                                       ,Furniture,8,Sunday,11,2015,13,Friday,11,2015,5,2015-11-08,2015-11-13,42.0
Standard Class,24.7,5,0.0,10.374,Consumer,West,California,Furnishings                                       ,Furniture,9,Thursday,4,2015,15,Wednesday,4,2015,6,2015-04-09,2015-04-15,42.00000000000001
Standard Class,19.76,4,0.0,8.2992,Home Office,Central,Michigan,Furnishings                                       ,Furniture,18,Friday,11,2016,24,Thursday,11,2016,6,2016-11-18,2016-11-24,42.0
Standard Class,7.904,2,20.0,2.1736,Consumer,South,Florida,Furnishings                                       ,Furniture,17,Sunday,7,2016,22,Friday,7,2016,5,2016-07-17,2016-07-22,27.500000000000004
Standard Class,34.58,7,0.0,14.5236,Corporate,Central,Iowa,Furnishings                                       ,Furniture,31,Sunday,1,2016,6,Saturday,2,2016,6,2016-01-31,2016-02-06,42.00000000000001
Standard Class,19.76,4,0.0,8.2992,Consumer,West,California,Furnishings                                       ,Furniture,7,Wednesday,9,2016,11,Sunday,9,2016,4,2016-09-07,2016-09-11,42.0
First Class,67.0,5,0.0,32.16,Consumer,Central,Michigan,Furnishings                                       ,Furniture,30,Friday,10,2015,1,Sunday,11,2015,2,2015-10-30,2015-11-01,47.99999999999999
Standard Class,40.2,3,0.0,19.296,Consumer,East,New York,Furnishings                                       ,Furniture,28,Wednesday,10,2015,3,Tuesday,11,2015,6,2015-10-28,2015-11-03,47.99999999999999
Second Class,26.8,2,0.0,12.864,Corporate,East,New York,Furnishings                                       ,Furniture,4,Sunday,5,2014,9,Friday,5,2014,5,2014-05-04,2014-05-09,48.00000000000001
Standard Class,21.44,2,20.0,7.504,Home Office,West,Colorado,Furnishings                                       ,Furniture,25,Friday,9,2015,2,Friday,10,2015,7,2015-09-25,2015-10-02,35.0
Second Class,13.4,1,0.0,6.432,Corporate,East,Delaware,Furnishings                                       ,Furniture,6,Sunday,12,2015,11,Friday,12,2015,5,2015-12-06,2015-12-11,48.00000000000001
Second Class,37.4,2,0.0,14.212,Corporate,West,Nevada,Furnishings                                       ,Furniture,9,Sunday,6,2013,13,Thursday,6,2013,4,2013-06-09,2013-06-13,38.0
Standard Class,18.7,1,0.0,7.106,Consumer,West,California,Furnishings                                       ,Furniture,19,Saturday,11,2016,24,Thursday,11,2016,5,2016-11-19,2016-11-24,38.0
Second Class,51.56,2,60.0,-61.872,Corporate,Central,Illinois,Furnishings                                       ,Furniture,31,Saturday,5,2014,5,Thursday,6,2014,5,2014-05-31,2014-06-05,-120.0
First Class,128.9,2,0.0,15.468,Consumer,West,California,Furnishings                                       ,Furniture,8,Thursday,12,2016,9,Friday,12,2016,1,2016-12-08,2016-12-09,12.0
Standard Class,39.96,5,60.0,-23.976,Corporate,Central,Texas,Furnishings                                       ,Furniture,2,Monday,12,2013,6,Friday,12,2013,4,2013-12-02,2013-12-06,-60.0
Second Class,31.968,2,20.0,6.3936,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,20,Wednesday,1,2016,25,Monday,1,2016,5,2016-01-20,2016-01-25,20.0
Second Class,23.976,3,60.0,-14.3856,Consumer,Central,Texas,Furnishings                                       ,Furniture,6,Friday,12,2013,8,Sunday,12,2013,2,2013-12-06,2013-12-08,-60.0
Standard Class,111.888,7,20.0,22.3776,Corporate,West,Arizona,Furnishings                                       ,Furniture,1,Friday,5,2015,5,Tuesday,5,2015,4,2015-05-01,2015-05-05,20.0
Standard Class,23.976,3,60.0,-14.3856,Home Office,Central,Illinois,Furnishings                                       ,Furniture,9,Thursday,6,2016,13,Monday,6,2016,4,2016-06-09,2016-06-13,-60.0
Standard Class,79.92,4,0.0,28.7712,Consumer,West,California,Furnishings                                       ,Furniture,7,Sunday,12,2014,12,Friday,12,2014,5,2014-12-07,2014-12-12,36.0
Same Day,199.8,10,0.0,71.928,Consumer,West,Washington,Furnishings                                       ,Furniture,24,Saturday,9,2016,24,Saturday,9,2016,0,2016-09-24,2016-09-24,36.0
Standard Class,39.96,2,0.0,14.3856,Home Office,South,Virginia,Furnishings                                       ,Furniture,15,Saturday,11,2014,19,Wednesday,11,2014,4,2014-11-15,2014-11-19,36.0
Standard Class,80.96,4,0.0,29.1456,Consumer,West,California,Furnishings                                       ,Furniture,17,Monday,11,2014,21,Friday,11,2014,4,2014-11-17,2014-11-21,36.00000000000001
Second Class,80.96,4,0.0,29.1456,Consumer,West,Nevada,Furnishings                                       ,Furniture,30,Sunday,11,2014,2,Tuesday,12,2014,2,2014-11-30,2014-12-02,36.00000000000001
Second Class,40.48,2,0.0,14.5728,Consumer,West,California,Furnishings                                       ,Furniture,24,Sunday,3,2013,29,Friday,3,2013,5,2013-03-24,2013-03-29,36.00000000000001
Second Class,48.576,3,20.0,9.7152,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,15,Sunday,11,2015,20,Friday,11,2015,5,2015-11-15,2015-11-20,20.0
Standard Class,40.48,2,0.0,14.5728,Corporate,East,New York,Furnishings                                       ,Furniture,13,Sunday,9,2015,17,Thursday,9,2015,4,2015-09-13,2015-09-17,36.00000000000001
Standard Class,63.824,2,20.0,9.5736,Consumer,East,Ohio,Furnishings                                       ,Furniture,20,Thursday,11,2014,26,Wednesday,11,2014,6,2014-11-20,2014-11-26,15.000000000000002
Standard Class,142.4,5,0.0,52.688,Consumer,South,Georgia,Furnishings                                       ,Furniture,14,Saturday,9,2013,19,Thursday,9,2013,5,2013-09-14,2013-09-19,37.0
Standard Class,56.96,2,0.0,21.0752,Consumer,East,New York,Furnishings                                       ,Furniture,4,Tuesday,6,2013,9,Sunday,6,2013,5,2013-06-04,2013-06-09,37.0
Standard Class,22.784,1,20.0,4.8416,Consumer,West,Oregon,Furnishings                                       ,Furniture,23,Wednesday,12,2015,29,Tuesday,12,2015,6,2015-12-23,2015-12-29,21.25
Standard Class,113.92,4,0.0,42.1504,Consumer,East,New York,Furnishings                                       ,Furniture,6,Saturday,12,2014,10,Wednesday,12,2014,4,2014-12-06,2014-12-10,37.0
Standard Class,85.44,3,0.0,31.6128,Consumer,West,California,Furnishings                                       ,Furniture,12,Monday,8,2013,16,Friday,8,2013,4,2013-08-12,2013-08-16,37.0
Standard Class,45.568,2,20.0,9.6832,Home Office,South,Florida,Furnishings                                       ,Furniture,22,Thursday,10,2015,27,Tuesday,10,2015,5,2015-10-22,2015-10-27,21.25
Second Class,24.1,5,0.0,9.158,Consumer,South,Kentucky,Furnishings                                       ,Furniture,4,Wednesday,11,2015,9,Monday,11,2015,5,2015-11-04,2015-11-09,37.99999999999999
Standard Class,24.1,5,0.0,9.158,Consumer,South,Kentucky,Furnishings                                       ,Furniture,28,Tuesday,10,2014,3,Monday,11,2014,6,2014-10-28,2014-11-03,37.99999999999999
Standard Class,11.568,3,20.0,2.6028,Corporate,South,Florida,Furnishings                                       ,Furniture,5,Monday,10,2015,9,Friday,10,2015,4,2015-10-05,2015-10-09,22.499999999999996
First Class,7.712,2,20.0,1.7352,Home Office,East,Ohio,Furnishings                                       ,Furniture,1,Thursday,12,2016,3,Saturday,12,2016,2,2016-12-01,2016-12-03,22.5
Standard Class,7.712,2,20.0,1.7352,Consumer,West,Arizona,Furnishings                                       ,Furniture,24,Wednesday,12,2014,29,Monday,12,2014,5,2014-12-24,2014-12-29,22.5
Standard Class,9.64,2,0.0,3.6632,Corporate,West,Washington,Furnishings                                       ,Furniture,30,Sunday,10,2016,3,Thursday,11,2016,4,2016-10-30,2016-11-03,37.99999999999999
Standard Class,254.744,7,60.0,-312.0614,Home Office,Central,Illinois,Furnishings                                       ,Furniture,17,Friday,1,2014,24,Friday,1,2014,7,2014-01-17,2014-01-24,-122.49999999999999
Standard Class,272.94,3,0.0,30.0234,Consumer,Central,Michigan,Furnishings                                       ,Furniture,20,Sunday,1,2013,26,Saturday,1,2013,6,2013-01-20,2013-01-26,11.0
Standard Class,272.94,3,0.0,30.0234,Consumer,Central,Michigan,Furnishings                                       ,Furniture,1,Saturday,8,2015,7,Friday,8,2015,6,2015-08-01,2015-08-07,11.0
Standard Class,181.96,2,0.0,20.0156,Consumer,East,Maryland,Furnishings                                       ,Furniture,9,Wednesday,7,2014,14,Monday,7,2014,5,2014-07-09,2014-07-14,10.999999999999998
First Class,218.352,3,20.0,-24.5646,Corporate,West,Colorado,Furnishings                                       ,Furniture,26,Thursday,12,2013,28,Saturday,12,2013,2,2013-12-26,2013-12-28,-11.249999999999998
Standard Class,198.46,2,0.0,99.23,Consumer,West,Washington,Furnishings                                       ,Furniture,8,Friday,7,2016,15,Friday,7,2016,7,2016-07-08,2016-07-15,50.0
Standard Class,595.38,6,0.0,297.69,Consumer,West,California,Furnishings                                       ,Furniture,27,Friday,11,2015,1,Tuesday,12,2015,4,2015-11-27,2015-12-01,50.0
Second Class,198.46,2,0.0,99.23,Corporate,West,California,Furnishings                                       ,Furniture,27,Saturday,8,2016,29,Monday,8,2016,2,2016-08-27,2016-08-29,50.0
Standard Class,396.92,4,0.0,198.46,Consumer,East,New York,Furnishings                                       ,Furniture,15,Tuesday,12,2015,20,Sunday,12,2015,5,2015-12-15,2015-12-20,50.0
Standard Class,238.152,3,20.0,89.307,Corporate,West,Arizona,Furnishings                                       ,Furniture,3,Wednesday,9,2014,8,Monday,9,2014,5,2014-09-03,2014-09-08,37.50000000000001
Same Day,79.384,1,20.0,29.769,Consumer,East,Ohio,Furnishings                                       ,Furniture,15,Friday,5,2015,15,Friday,5,2015,0,2015-05-15,2015-05-15,37.5
Standard Class,396.92,5,20.0,148.845,Consumer,East,Ohio,Furnishings                                       ,Furniture,14,Thursday,7,2016,18,Monday,7,2016,4,2016-07-14,2016-07-18,37.5
Standard Class,595.38,6,0.0,297.69,Corporate,South,Georgia,Furnishings                                       ,Furniture,20,Sunday,4,2014,25,Friday,4,2014,5,2014-04-20,2014-04-25,50.0
Standard Class,31.4,5,0.0,13.188,Corporate,East,Massachusetts,Furnishings                                       ,Furniture,30,Wednesday,4,2014,4,Sunday,5,2014,4,2014-04-30,2014-05-04,42.00000000000001
Standard Class,15.072,3,20.0,4.1448,Corporate,East,Ohio,Furnishings                                       ,Furniture,2,Friday,9,2016,8,Thursday,9,2016,6,2016-09-02,2016-09-08,27.500000000000004
Standard Class,35.168,7,20.0,9.6712,Corporate,South,Tennessee,Furnishings                                       ,Furniture,3,Friday,6,2016,7,Tuesday,6,2016,4,2016-06-03,2016-06-07,27.500000000000004
Standard Class,35.168,7,20.0,9.6712,Consumer,East,Ohio,Furnishings                                       ,Furniture,24,Sunday,11,2013,29,Friday,11,2013,5,2013-11-24,2013-11-29,27.500000000000004
Standard Class,18.84,3,0.0,7.9128,Consumer,West,California,Furnishings                                       ,Furniture,14,Thursday,7,2016,18,Monday,7,2016,4,2016-07-14,2016-07-18,42.0
Second Class,10.16,2,0.0,3.4544,Corporate,South,Alabama,Furnishings                                       ,Furniture,2,Sunday,10,2016,6,Thursday,10,2016,4,2016-10-02,2016-10-06,34.0
Standard Class,2.032,1,60.0,-1.3208,Home Office,Central,Illinois,Furnishings                                       ,Furniture,14,Wednesday,12,2016,20,Tuesday,12,2016,6,2016-12-14,2016-12-20,-65.0
Standard Class,20.32,4,0.0,6.9088,Corporate,South,Georgia,Furnishings                                       ,Furniture,18,Sunday,9,2016,22,Thursday,9,2016,4,2016-09-18,2016-09-22,34.0
Standard Class,15.24,3,0.0,5.1816,Home Office,West,California,Furnishings                                       ,Furniture,14,Sunday,12,2014,18,Thursday,12,2014,4,2014-12-14,2014-12-18,34.0
Standard Class,9.68,2,0.0,3.7752,Corporate,Central,Missouri,Furnishings                                       ,Furniture,24,Wednesday,12,2014,30,Tuesday,12,2014,6,2014-12-24,2014-12-30,39.0
Standard Class,14.52,3,0.0,5.6628,Corporate,West,California,Furnishings                                       ,Furniture,3,Thursday,12,2015,8,Tuesday,12,2015,5,2015-12-03,2015-12-08,39.0
Second Class,15.488,4,20.0,3.6784,Corporate,West,Colorado,Furnishings                                       ,Furniture,30,Thursday,10,2014,2,Sunday,11,2014,3,2014-10-30,2014-11-02,23.75
Standard Class,215.65,5,0.0,73.321,Consumer,West,California,Furnishings                                       ,Furniture,8,Wednesday,7,2015,12,Sunday,7,2015,4,2015-07-08,2015-07-12,34.0
Second Class,51.756,3,60.0,-33.6414,Home Office,Central,Illinois,Furnishings                                       ,Furniture,21,Sunday,12,2014,26,Friday,12,2014,5,2014-12-21,2014-12-26,-64.99999999999999
Standard Class,69.008,2,20.0,12.0764,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,7,Sunday,7,2013,11,Thursday,7,2013,4,2013-07-07,2013-07-11,17.5
Standard Class,43.13,1,0.0,14.6642,Consumer,West,Washington,Furnishings                                       ,Furniture,9,Wednesday,9,2015,14,Monday,9,2015,5,2015-09-09,2015-09-14,34.0
First Class,34.504,1,20.0,6.0382,Consumer,South,Florida,Furnishings                                       ,Furniture,11,Sunday,9,2016,12,Monday,9,2016,1,2016-09-11,2016-09-12,17.5
Standard Class,86.26,2,0.0,29.3284,Consumer,West,California,Furnishings                                       ,Furniture,3,Wednesday,2,2016,8,Monday,2,2016,5,2016-02-03,2016-02-08,34.0
Same Day,101.94,3,0.0,30.582,Consumer,West,Washington,Furnishings                                       ,Furniture,23,Friday,10,2015,23,Friday,10,2015,0,2015-10-23,2015-10-23,30.0
Standard Class,22.77,3,0.0,9.7911,Home Office,West,Washington,Furnishings                                       ,Furniture,15,Thursday,12,2016,20,Tuesday,12,2016,5,2016-12-15,2016-12-20,43.0
Standard Class,30.36,4,0.0,13.0548,Corporate,Central,Oklahoma,Furnishings                                       ,Furniture,14,Saturday,11,2015,18,Wednesday,11,2015,4,2015-11-14,2015-11-18,43.0
First Class,30.36,5,20.0,8.7285,Consumer,East,Ohio,Furnishings                                       ,Furniture,24,Tuesday,12,2013,26,Thursday,12,2013,2,2013-12-24,2013-12-26,28.750000000000004
Standard Class,15.84,3,0.0,4.9104,Home Office,West,Washington,Furnishings                                       ,Furniture,8,Friday,7,2016,12,Tuesday,7,2016,4,2016-07-08,2016-07-12,31.0
First Class,25.344,6,20.0,3.4848,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,11,Friday,7,2014,13,Sunday,7,2014,2,2014-07-11,2014-07-13,13.749999999999998
First Class,36.96,7,0.0,11.4576,Consumer,West,California,Furnishings                                       ,Furniture,31,Sunday,7,2016,3,Wednesday,8,2016,3,2016-07-31,2016-08-03,31.0
Standard Class,21.12,4,0.0,6.5472,Corporate,East,New Hampshire,Furnishings                                       ,Furniture,26,Saturday,12,2015,2,Saturday,1,2016,7,2015-12-26,2016-01-02,31.0
Second Class,21.12,4,0.0,6.5472,Corporate,West,California,Furnishings                                       ,Furniture,10,Wednesday,2,2016,15,Monday,2,2016,5,2016-02-10,2016-02-15,31.0
Standard Class,31.68,6,0.0,9.8208,Consumer,East,New York,Furnishings                                       ,Furniture,1,Friday,11,2013,5,Tuesday,11,2013,4,2013-11-01,2013-11-05,31.0
Second Class,355.36,4,0.0,92.3936,Consumer,West,Idaho,Furnishings                                       ,Furniture,9,Monday,6,2014,11,Wednesday,6,2014,2,2014-06-09,2014-06-11,26.0
Standard Class,177.68,2,0.0,46.1968,Corporate,South,Virginia,Furnishings                                       ,Furniture,2,Tuesday,4,2013,8,Monday,4,2013,6,2013-04-02,2013-04-08,26.0
